ID,Module,Title,Preconditions,Steps,Test data,Expected Result,Priority
INBOX-001,Inbox,CLICK Unread Filter with Mixed Messages,"User logged in
Inbox contains 3 unread and 5 read messages
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter","3 unread messages
5 read messages","SHOULD display only 3 unread messages.
SHOULD hide all 5 read messages.
SHOULD show unread count badge ""3"".",High
INBOX-002,Inbox,CLICK All Chats Filter from Unread View,"User logged in
[Unread] filter active
3 unread and 5 read messages exist","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK **[All Chats]** filter","3 unread messages
5 read messages","SHOULD display all 8 messages.
SHOULD show messages in chronological order.
SHOULD remove unread filter.",High
INBOX-003,Inbox,CLICK Unread Filter with Seven Read and Three Unread,"User logged in
Inbox contains 7 read and 3 unread messages
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter","7 read messages
3 unread messages","SHOULD hide all 7 read messages.
SHOULD display only 3 unread messages.
SHOULD apply filtering logic correctly.",High
INBOX-004,Single chat,CLICK Unread Message with Sticky View Active,"User logged in
[Unread] filter applied
Message A and Message B both unread","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK Message A","Message A: unread
Message B: unread","SHOULD change Message A status to Read.
SHOULD decrement unread count by 1.
SHOULD keep Message A visible in list.",Critical
INBOX-005,Single chat,CLICK Second Unread Message After Reading First,"User logged in
[Unread] filter active
Message A read but visible (sticky)
Message B unread",1. CLICK Message B,"Message A: read (sticky)
Message B: unread","SHOULD remove Message A from list immediately.
SHOULD open Message B.
SHOULD change Message B to Read.
SHOULD keep Message B visible.",Critical
INBOX-006,Inbox,CLICK All Chats Then Return to Unread Filter,"User logged in
[Unread] filter active
Message A read but still visible (sticky)
2 other unread messages exist","1. CLICK **[All Chats]** filter
2. CLICK **[Unread]** filter","Message A: read (sticky)
2 other unread messages","SHOULD remove Message A from list.
SHOULD display only 2 truly unread messages.
SHOULD clean up sticky state.",High
INBOX-007,Inbox,CLICK Unread Filter with Zero Unread Messages,"User logged in
0 unread messages exist
5 read messages exist
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter","0 unread
5 read","SHOULD display ""No unread messages"" empty state.
SHOULD NOT show any messages in list.
SHOULD show unread count as 0 or hidden.",Medium
INBOX-008,Inbox,CLICK Unread Filter with More Than Twenty Chat Rooms,"User logged in
Inbox contains 25 chat rooms
15 unread and 10 read messages
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter","25 chat rooms total
15 unread
10 read","SHOULD display only 15 unread messages.
SHOULD hide all 10 read messages.
SHOULD handle large list without performance issues.",Medium
INBOX-009,Single chat,CLICK Last Unread Message Until List Empty,"User logged in
[Unread] filter active
Only 1 unread message exists (Message A)","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK Message A",1 unread message,"SHOULD change Message A to Read.
SHOULD keep Message A visible (sticky).
SHOULD show unread count as 0.",Medium
INBOX-010,Inbox,CLICK Unread Filter Multiple Times Rapidly,"User logged in
3 unread and 5 read messages exist
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK **[All Chats]** filter
4. CLICK **[Unread]** filter
5. CLICK **[All Chats]** filter","3 unread
5 read","SHOULD maintain correct filter state.
SHOULD display correct messages on each switch.
SHOULD NOT show UI flickering or errors.",Medium
INBOX-011,Single chat,CLICK Unread Message Then Navigate Away and Return,"User logged in
[Unread] filter active
Message A unread
Other unread messages exist","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK Message A
4. NAVIGATE to different page
5. NAVIGATE back to **[Inbox]** page
6. CLICK **[Unread]** filter","Message A: unread
3 other unread messages","SHOULD remove Message A from unread list.
SHOULD display only truly unread messages.
SHOULD clean up read messages after navigation.",High
INBOX-012,Single chat,CLICK All Unread Messages Sequentially Until Empty,"User logged in
[Unread] filter active
3 unread messages exist (A, B, C)","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK Message A
4. CLICK Message B
5. CLICK Message C","Message A: unread
Message B: unread
Message C: unread","SHOULD remove Message A when B clicked.
SHOULD remove Message B when C clicked.
SHOULD keep Message C visible (sticky).
SHOULD show unread count as 0.",High
INBOX-013,Inbox,CLICK Unread Filter Then All Chats with Single Message,"User logged in
1 unread message exists
10 read messages exist
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK **[All Chats]** filter","1 unread
10 read","SHOULD show only 1 message in unread view.
SHOULD show all 11 messages in all chats view.
SHOULD maintain chronological order in all chats.",Low
INBOX-014,Inbox,NAVIGATE to Inbox with Unread Filter Preserved,"User logged in
[Unread] filter was previously active
User navigated away
3 unread messages exist",1. NAVIGATE to **[Inbox]** page,3 unread messages,"SHOULD display [All Chats] as default view.
SHOULD show all messages.
SHOULD NOT preserve previous filter state.",Low
INBOX-015,Inbox,CLICK Unread Filter with All Messages Read,"User logged in
Initially 3 unread messages
User read all messages while in [Unread] view
Last message still sticky visible","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK Message A
4. CLICK Message B
5. CLICK Message C",All 3 messages now read,"SHOULD keep Message C visible (sticky).
SHOULD show unread count as 0.
SHOULD show only Message C in list.",Medium
INBOX-016,Inbox,CLICK Unread Filter with Twenty-One Chat Rooms All Unread,"User logged in
Inbox contains exactly 21 chat rooms
All 21 messages are unread
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter","21 unread messages
0 read messages","SHOULD display all 21 unread messages.
SHOULD show unread count as 21.
SHOULD handle edge case at boundary condition.",Medium
INBOX-017,Single chat,CLICK Unread Message Then Immediately Switch to All Chats,"User logged in
[Unread] filter active
Message A just clicked (sticky visible)","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK Message A
4. CLICK **[All Chats]** filter immediately","Message A: unread (then read)","SHOULD show Message A in all chats view.
SHOULD display Message A as read.
SHOULD show all messages chronologically.",Low
INBOX-018,Inbox,VERIFY Unread Count Badge Decrements on Message Read,"User logged in
[Unread] filter active
5 unread messages exist
Unread badge shows ""5""","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK Message A",5 unread messages,"SHOULD decrement badge count to ""4"".
SHOULD update badge in real-time.
SHOULD keep Message A visible.",High
INBOX-019,Inbox,CLICK Unread Filter After Marking Message as Unread,"User logged in
Message A was read
User marked Message A as unread via context menu
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[All Chats]** filter
3. HOVER over Message A
4. CLICK **[...]** menu
5. CLICK **[Mark as unread]**
6. CLICK **[Unread]** filter","Message A: read (then marked unread)","SHOULD display Message A in unread list.
SHOULD increment unread count by 1.
SHOULD treat marked message as unread.",High
INBOX-020,Single chat,CLICK Unread Message Then Search Chat Room,"User logged in
[Unread] filter active
Message A visible (sticky after read)
Search functionality available","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK Message A
4. CLICK **[Search]** icon
5. INPUT ""test"" into **[Search]** field","Message A: read (sticky)
Search term: ""test""","SHOULD maintain sticky view during search.
SHOULD filter messages by search term.
SHOULD keep unread filter active.",Medium
INBOX-021,Single chat,CLICK Unread Message Then Send Reply,"User logged in
[Unread] filter active
Message A unread and clicked","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK Message A
4. CLICK **[Message input]** field
5. INPUT ""Reply message""
6. CLICK **[Send]** button","Message A: unread
Reply: ""Reply message""","SHOULD mark Message A as read.
SHOULD send reply successfully.
SHOULD keep Message A visible (sticky).
SHOULD decrement unread count.",High
INBOX-022,Inbox,CLICK Unread Filter with Mixed Read and Unread Over Twenty,"User logged in
Inbox contains 30 chat rooms total
12 unread and 18 read messages
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter","30 chat rooms
12 unread
18 read","SHOULD display only 12 unread messages.
SHOULD hide all 18 read messages.
SHOULD maintain performance with large dataset.",Medium
INBOX-023,Inbox,NAVIGATE Between All Chats and Unread Multiple Times,"User logged in
5 unread and 10 read messages exist
Currently viewing [All Chats]","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter
3. CLICK **[All Chats]** filter
4. CLICK **[Unread]** filter
5. CLICK **[All Chats]** filter
6. CLICK **[Unread]** filter","5 unread
10 read","SHOULD display correct messages on each filter.
SHOULD maintain filter state consistently.
SHOULD NOT cause memory leaks or performance degradation.",Low
INBOX-024,Single chat,CLICK Unread Message While Another Message Sticky,"User logged in
[Unread] filter active
Message A read and sticky visible
Message B and C both unread",1. CLICK Message B,"Message A: read (sticky)
Message B: unread
Message C: unread","SHOULD remove Message A from list.
SHOULD mark Message B as read.
SHOULD keep Message B visible (sticky).
SHOULD keep Message C unread and visible.",High
INBOX-025,Inbox,VERIFY Empty State Message Content and Style,"User logged in
0 unread messages
[Unread] filter active","1. NAVIGATE to **[Inbox]** page
2. CLICK **[Unread]** filter",0 unread messages,"SHOULD display ""No unread messages"" text.
SHOULD show empty state placeholder or icon.
SHOULD maintain consistent UI styling.",Low
